ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2021-01-04
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202009;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;1243130;1243130;0;0;0;0;0;496445;14313;0;482132;;0;32929373;25049789;949724;3869807;0;0;0;0;259368;0;2800684;0;0;0;0;0;5944;0;7481237;42156129;3538941;12656129;506135;0;506135;0;15481248;0;0;15481249;0;0;0;0;30806;30806;0;580389;0;1881244;2100062;-218818;7481237;42156129;1200336
202009;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1081955;1081955;0;0;0;0;0;-3152877;137946;0;0;;-3290823;15935643;11775932;99008;0;0;0;0;0;5511850;117101;0;-3;-1568245;0;0;0;145446;0;31459505;45469673;2092592;11212981;192139;0;192139;0;36261;1940;0;34321;0;0;0;0;11047;11047;0;178164;0;286983;810549;-523566;31459505;45469673;1200344
202009;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;1266264;1266264;0;0;0;0;0;-2514646;24118;0;0;;-2538763;8118004;8014115;94289;0;0;0;0;0;557572;0;0;-25;-547946;0;0;0;0;0;16714521;23584144;960573;5300134;206925;0;206925;0;18701;0;0;18701;0;0;0;0;3297;3297;0;145817;0;234175;435051;-200875;16714521;23584144;1200054
202009;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;1809152;1809152;0;0;0;0;0;888612;0;0;888612;;0;27497797;13962251;270401;11032343;0;0;0;0;153925;0;2078877;0;0;0;0;0;6775;0;6324241;36526577;3857434;6201063;1496987;0;1496987;0;17188657;0;0;17188658;0;0;0;0;28616;28617;0;317571;0;1112007;1524343;-412337;6324241;36526577;1200302
202009;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;2200589;2200589;0;0;0;0;0;-13506649;149806;0;0;;-13656456;32603688;19394446;75043;0;0;0;0;0;14276958;150750;0;-12;-1293497;0;0;0;684029;0;47544370;69526026;2540328;15567429;2488845;0;2488845;0;54820;620;0;54200;0;0;0;0;13587;13587;0;204291;0;1112357;1403698;-291341;47544370;69526026;1200302
202009;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;302220;302220;0;0;0;0;0;9689042;0;0;9689042;;0;3784923;3715245;0;0;0;0;0;0;0;0;69678;0;0;0;0;0;0;0;62289686;76065871;6366259;6748450;323978;0;323978;0;97382;0;0;97382;0;0;0;0;12;12;0;12190;0;227915;302392;-74477;62289686;76065871;1200302
202009;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;2194056;2194056;0;0;0;0;54583;2674076;0;0;2674076;;0;47866543;14720706;632517;29912711;0;0;0;0;0;0;2600610;0;0;0;0;0;7430;0;12566517;65363205;7040096;17600430;2875718;0;2875718;0;23533983;0;0;23533983;0;0;0;0;34395;34395;0;419174;0;1292892;1840413;-547521;12566517;65363205;1200708
202009;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;242244;242244;0;0;0;0;0;12909445;0;0;12909016;;428;3443620;3394820;0;3026;0;0;0;0;0;0;45774;0;0;0;0;0;0;0;80558539;97153848;9374657;6706847;251476;0;251476;0;33026;0;0;33026;0;0;0;0;0;0;0;57603;0;171699;229408;-57708;80558539;97153848;1200708
202009;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;3279814;3279814;0;0;0;0;0;4320649;4420;0;4316229;;0;79766519;46086574;1352867;25514951;0;0;0;0;1700835;0;5111291;0;0;0;0;0;10500;0;30000907;117378388;6485417;18732089;2685827;0;2685827;0;55570069;0;0;55570068;0;0;0;0;43970;43970;0;679340;0;3180770;4094423;-913653;30000907;117378388;1200609
202009;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;3315371;3315371;0;0;0;0;0;-28590073;121865;0;500000;;-29211938;53658251;36365562;81921;75420;0;0;0;0;18802885;1226138;0;-7;-2893668;0;0;0;748280;0;93749774;122881604;4049617;20364946;1652587;0;1652587;0;118939;2720;0;116219;0;0;0;0;4840;4841;0;1117739;0;1823160;2642752;-819592;93749774;122881604;1200609
202009;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;340095;340095;0;0;0;0;0;14640406;0;0;14639928;;478;3498257;3419132;0;0;0;0;0;0;0;0;79125;0;0;0;0;0;0;0;58747179;77225937;10217457;7812278;100160;0;100160;0;105300;0;0;105300;0;0;0;0;30963;30963;0;12797;0;199803;273139;-73336;58747179;77225937;1200609
202009;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;2181017;2181017;0;0;0;0;147840;2239088;14007;0;2225081;;0;137713647;38737353;2003871;90206650;0;0;0;0;1452325;99470;5213978;0;0;0;0;0;13374;0;26782909;169077875;14373050;21284332;25776981;0;25776981;0;75491856;0;0;75491856;0;0;0;2;608658;608658;0;1050371;0;3709715;4312465;-602750;26782909;169077875;1200500
202009;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1981301;1981301;0;0;0;0;0;-12155260;89850;0;0;;-12245110;51789395;23391621;268562;1;0;0;0;0;30031876;298038;0;-1286;-2199416;0;0;0;5585173;0;146917663;194118272;3730601;38862542;1958909;0;1958909;0;175220;3310;0;171910;0;0;0;0;5276;5276;0;1048644;0;1419418;2332029;-912612;146917663;194118272;1200500
