Municipio,PIB2018
ALTA FLORESTA D'OESTE (RO),499306.0
ARIQUEMES (RO),2463773.0
CABIXI (RO),140502.0
CACOAL (RO),2180454.0
CEREJEIRAS (RO),472179.0
COLORADO DO OESTE (RO),330428.0
CORUMBIARA (RO),320628.0
COSTA MARQUES (RO),230164.0
ESPIGAO D'OESTE (RO),608398.0
GUAJARA-MIRIM (RO),836882.0
JARU (RO),1476627.0
JI-PARANA (RO),3362336.0
MACHADINHO D'OESTE (RO),642103.0
NOVA BRASILANDIA D'OESTE (RO),370024.0
OURO PRETO DO OESTE (RO),808667.0
PIMENTA BUENO (RO),1131158.0
PORTO VELHO (RO),16647158.0
PRESIDENTE MEDICI (RO),417601.0
RIO CRESPO (RO),106521.0
ROLIM DE MOURA (RO),1317091.0
SANTA LUZIA D'OESTE (RO),146645.0
VILHENA (RO),2769483.0
SAO MIGUEL DO GUAPORE (RO),711451.0
NOVA MAMORE (RO),508702.0
ALVORADA D'OESTE (RO),256509.0
ALTO ALEGRE DOS PARECIS (RO),278480.0
ALTO PARAISO (RO),328751.0
BURITIS (RO),680976.0
NOVO HORIZONTE DO OESTE (RO),165798.0
CACAULANDIA (RO),140630.0
CAMPO NOVO DE RONDONIA (RO),280341.0
CANDEIAS DO JAMARI (RO),567898.0
CASTANHEIRAS (RO),113027.0
CHUPINGUAIA (RO),301332.0
CUJUBIM (RO),357077.0
GOVERNADOR JORGE TEIXEIRA (RO),178780.0
ITAPUA DO OESTE (RO),180286.0
MINISTRO ANDREAZZA (RO),206233.0
MIRANTE DA SERRA (RO),217967.0
MONTE NEGRO (RO),283003.0
NOVA UNIAO (RO),121054.0
PARECIS (RO),106590.0
PIMENTEIRAS DO OESTE (RO),104579.0
PRIMAVERA DE RONDONIA (RO),60540.0
SAO FELIPE D'OESTE (RO),89556.0
SAO FRANCISCO DO GUAPORE (RO),352762.0
SERINGUEIRAS (RO),234981.0
TEIXEIROPOLIS (RO),89304.0
THEOBROMA (RO),191965.0
URUPA (RO),217176.0
VALE DO ANARI (RO),159963.0
VALE DO PARAISO (RO),150141.0
ACRELANDIA (AC),236379.0
ASSIS BRASIL (AC),91486.0
BRASILEIA (AC),417839.0
BUJARI (AC),157797.0
CAPIXABA (AC),170403.0
CRUZEIRO DO SUL (AC),1425685.0
