Municipio,Populacao2020
ALTA FLORESTA D'OESTE (RO),22728
ARIQUEMES (RO),109523
CABIXI (RO),5188
CACOAL (RO),85893
CEREJEIRAS (RO),16204
COLORADO DO OESTE (RO),15544
CORUMBIARA (RO),7220
COSTA MARQUES (RO),18798
ESPIGAO D'OESTE (RO),32695
GUAJARA-MIRIM (RO),46556
JARU (RO),51620
JI-PARANA (RO),130009
MACHADINHO D'OESTE (RO),40867
NOVA BRASILANDIA D'OESTE (RO),20489
OURO PRETO DO OESTE (RO),35737
PIMENTA BUENO (RO),36881
PORTO VELHO (RO),539354
PRESIDENTE MEDICI (RO),18571
RIO CRESPO (RO),3804
ROLIM DE MOURA (RO),55407
SANTA LUZIA D'OESTE (RO),6216
VILHENA (RO),102211
SAO MIGUEL DO GUAPORE (RO),23077
NOVA MAMORE (RO),31392
ALVORADA D'OESTE (RO),14106
ALTO ALEGRE DOS PARECIS (RO),13255
ALTO PARAISO (RO),21847
BURITIS (RO),40356
NOVO HORIZONTE DO OESTE (RO),8329
CACAULANDIA (RO),6269
CAMPO NOVO DE RONDONIA (RO),14266
CANDEIAS DO JAMARI (RO),27388
CASTANHEIRAS (RO),2987
CHUPINGUAIA (RO),11472
CUJUBIM (RO),26183
GOVERNADOR JORGE TEIXEIRA (RO),7445
ITAPUA DO OESTE (RO),10641
MINISTRO ANDREAZZA (RO),9559
MIRANTE DA SERRA (RO),10818
MONTE NEGRO (RO),16007
NOVA UNIAO (RO),6895
PARECIS (RO),6198
PIMENTEIRAS DO OESTE (RO),2148
PRIMAVERA DE RONDONIA (RO),2776
SAO FELIPE D'OESTE (RO),5066
SAO FRANCISCO DO GUAPORE (RO),20681
SERINGUEIRAS (RO),11851
TEIXEIROPOLIS (RO),4233
THEOBROMA (RO),10395
URUPA (RO),11272
VALE DO ANARI (RO),11377
VALE DO PARAISO (RO),6656
ACRELANDIA (AC),15490
ASSIS BRASIL (AC),7534
BRASILEIA (AC),26702
BUJARI (AC),10420
CAPIXABA (AC),12008
CRUZEIRO DO SUL (AC),89072
EPITACIOLANDIA (AC),18696
FEIJO (AC),34884
JORDAO (AC),8473
MANCIO LIMA (AC),19311
MANOEL URBANO (AC),9581
MARECHAL THAUMATURGO (AC),19299
PLACIDO DE CASTRO (AC),19955
PORTO WALTER (AC),12241
RIO BRANCO (AC),413418
RODRIGUES ALVES (AC),19351
SANTA ROSA DO PURUS (AC),6717
SENADOR GUIOMARD (AC),23236
SENA MADUREIRA (AC),46511
TARAUACA (AC),43151
XAPURI (AC),19596
PORTO ACRE (AC),18824
ALVARAES (AM),16220
AMATURA (AM),11736
ANAMA (AM),13956
ANORI (AM),21477
APUI (AM),22359
ATALAIA DO NORTE (AM),20398
AUTAZES (AM),40290
BARCELOS (AM),27638
BARREIRINHA (AM),32483
BENJAMIN CONSTANT (AM),43935
BERURI (AM),20093
BOA VISTA DO RAMOS (AM),19626
BOCA DO ACRE (AM),34635
BORBA (AM),41748
CAAPIRANGA (AM),13283
CANUTAMA (AM),15807
CARAUARI (AM),28508
CAREIRO (AM),38348
CAREIRO DA VARZEA (AM),30846
COARI (AM),85910
CODAJAS (AM),29168
EIRUNEPE (AM),35700
ENVIRA (AM),20393
FONTE BOA (AM),17005
GUAJARA (AM),16937
HUMAITA (AM),56144
IPIXUNA (AM),30436
IRANDUBA (AM),49011
ITACOATIARA (AM),102701
ITAMARATI (AM),7814
ITAPIRANGA (AM),9230
JAPURA (AM),2251
JURUA (AM),15106
JUTAI (AM),13886
LABREA (AM),46882
MANACAPURU (AM),98502
MANAQUIRI (AM),33049
MANAUS (AM),2219580
MANICORE (AM),56583
MARAA (AM),18261
MAUES (AM),65040
NHAMUNDA (AM),21443
NOVA OLINDA DO NORTE (AM),38026
NOVO AIRAO (AM),19928
NOVO ARIPUANA (AM),26046
PARINTINS (AM),115363
PAUINI (AM),19522
PRESIDENTE FIGUEIREDO (AM),37193
RIO PRETO DA EVA (AM),34106
SANTA ISABEL DO RIO NEGRO (AM),25865
SANTO ANTONIO DO ICA (AM),21243
SAO GABRIEL DA CACHOEIRA (AM),46303
SAO PAULO DE OLIVENCA (AM),40073
SAO SEBASTIAO DO UATUMA (AM),14352
SILVES (AM),9230
TABATINGA (AM),67182
TAPAUA (AM),17015
TEFE (AM),59547
TONANTINS (AM),18897
UARINI (AM),13690
URUCARA (AM),16130
URUCURITUBA (AM),23585
AMAJARI (RR),13185
ALTO ALEGRE (RR),15380
BOA VISTA (RR),419652
BONFIM (RR),12557
CANTA (RR),18799
CARACARAI (RR),22283
CAROEBE (RR),10383
IRACEMA (RR),12296
MUCAJAI (RR),18172
NORMANDIA (RR),11532
PACARAIMA (RR),18913
RORAINOPOLIS (RR),30782
SAO JOAO DA BALIZA (RR),8348
SAO LUIZ (RR),8110
UIRAMUTA (RR),10789
ABAETETUBA (PA),159080
ABEL FIGUEIREDO (PA),7486
ACARA (PA),55669
AFUA (PA),39567
AGUA AZUL DO NORTE (PA),27615
ALENQUER (PA),57092
ALMEIRIM (PA),34076
ALTAMIRA (PA),115969
ANAJAS (PA),29688
ANANINDEUA (PA),535547
ANAPU (PA),28607
AUGUSTO CORREA (PA),46471
AURORA DO PARA (PA),31773
AVEIRO (PA),16404
BAGRE (PA),31325
BAIAO (PA),48459
BANNACH (PA),3262
BARCARENA (PA),127027
BELEM (PA),1499641
BELTERRA (PA),17839
BENEVIDES (PA),63768
BOM JESUS DO TOCANTINS (PA),17118
BONITO (PA),16530
BRAGANCA (PA),128914
BRASIL NOVO (PA),14983
BREJO GRANDE DO ARAGUAIA (PA),7368
BREU BRANCO (PA),67332
BREVES (PA),103497
BUJARU (PA),29427
CACHOEIRA DO PIRIA (PA),34609
CACHOEIRA DO ARARI (PA),24064
CAMETA (PA),139364
CANAA DOS CARAJAS (PA),38103
CAPANEMA (PA),69431
CAPITAO POCO (PA),54425
CASTANHAL (PA),203251
CHAVES (PA),23948
COLARES (PA),12131
CONCEICAO DO ARAGUAIA (PA),47991
CONCORDIA DO PARA (PA),33781
CUMARU DO NORTE (PA),13761
CURIONOPOLIS (PA),17846
CURRALINHO (PA),34994
CURUA (PA),14587
CURUCA (PA),40584
DOM ELISEU (PA),60469
ELDORADO DO CARAJAS (PA),33940
FARO (PA),7070
FLORESTA DO ARAGUAIA (PA),20525
GARRAFAO DO NORTE (PA),26111
GOIANESIA DO PARA (PA),41081
GURUPA (PA),33755
IGARAPE-ACU (PA),39023
IGARAPE-MIRI (PA),63036
INHANGAPI (PA),11861
IPIXUNA DO PARA (PA),65625
IRITUIA (PA),32595
ITAITUBA (PA),101395
ITUPIRANGA (PA),53355
JACAREACANGA (PA),7590
JACUNDA (PA),59842
JURUTI (PA),58960
LIMOEIRO DO AJURU (PA),29282
MAE DO RIO (PA),30235
MAGALHAES BARATA (PA),8573
MARABA (PA),283542
MARACANA (PA),29516
MARAPANIM (PA),28450
MARITUBA (PA),133685
MEDICILANDIA (PA),31975
MELGACO (PA),27890
MOCAJUBA (PA),31530
MOJU (PA),83182
MOJUI DOS CAMPOS (PA),16184
MONTE ALEGRE (PA),58162
MUANA (PA),40906
NOVA ESPERANCA DO PIRIA (PA),21444
NOVA IPIXUNA (PA),16854
NOVA TIMBOTEUA (PA),15506
NOVO PROGRESSO (PA),25766
NOVO REPARTIMENTO (PA),77214
OBIDOS (PA),52306
OEIRAS DO PARA (PA),32850
ORIXIMINA (PA),74016
OUREM (PA),17961
OURILANDIA DO NORTE (PA),33335
PACAJA (PA),48414
PALESTINA DO PARA (PA),7582
PARAGOMINAS (PA),114503
PARAUAPEBAS (PA),213576
PAU D'ARCO (PA),5410
PEIXE-BOI (PA),8081
PICARRA (PA),12979
PLACAS (PA),31659
PONTA DE PEDRAS (PA),31549
PORTEL (PA),62945
PORTO DE MOZ (PA),41801
PRAINHA (PA),29846
PRIMAVERA (PA),10857
QUATIPURU (PA),13702
REDENCAO (PA),85563
RIO MARIA (PA),18201
RONDON DO PARA (PA),52803
RUROPOLIS (PA),51500
SALINOPOLIS (PA),40922
SALVATERRA (PA),24075
SANTA BARBARA DO PARA (PA),21449
SANTA CRUZ DO ARARI (PA),10314
SANTA IZABEL DO PARA (PA),71837
SANTA LUZIA DO PARA (PA),19843
SANTA MARIA DAS BARREIRAS (PA),21850
SANTA MARIA DO PARA (PA),24995
SANTANA DO ARAGUAIA (PA),74419
SANTAREM (PA),306480
SANTAREM NOVO (PA),6753
SANTO ANTONIO DO TAUA (PA),31918
SAO CAETANO DE ODIVELAS (PA),18129
SAO DOMINGOS DO ARAGUAIA (PA),25753
SAO DOMINGOS DO CAPIM (PA),32139
SAO FELIX DO XINGU (PA),132138
SAO FRANCISCO DO PARA (PA),15930
SAO GERALDO DO ARAGUAIA (PA),24705
SAO JOAO DA PONTA (PA),6217
SAO JOAO DE PIRABAS (PA),23244
SAO JOAO DO ARAGUAIA (PA),14051
SAO MIGUEL DO GUAMA (PA),59632
SAO SEBASTIAO DA BOA VISTA (PA),26974
SAPUCAIA (PA),6009
SENADOR JOSE PORFIRIO (PA),11480
SOURE (PA),25565
TAILANDIA (PA),108969
TERRA ALTA (PA),11847
