Frota veiculos novembro 2020,,,,,,,,,,,,,,,,,,,,,,,
,,"  107,585,150 ",,,,,,,,,,,,,,,,,,,,,
UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
AC,ACRELANDIA,6775,1453,0,502,43,722,57,0,2,10,3361,400,43,0,93,74,0,2,0,0,1,12
AC,ASSIS BRASIL,1914,348,0,25,0,154,19,0,2,2,1208,132,4,0,18,0,0,0,0,0,0,2
AC,BRASILEIA,10207,2416,0,295,159,1252,85,0,4,8,4596,987,20,0,120,230,0,0,0,0,2,33
AC,BUJARI,2261,662,0,131,33,281,16,0,7,6,985,55,14,0,27,42,0,0,0,0,1,1
AC,CAPIXABA,2292,641,0,88,3,246,29,0,5,3,1099,128,17,0,27,4,0,0,0,0,0,2
AC,CRUZEIRO DO SUL,34669,7203,0,730,91,2935,328,1,32,59,15965,6871,84,0,48,188,0,1,0,0,10,123
AC,EPITACIOLANDIA,6746,1856,0,252,114,866,86,0,4,8,2510,755,16,0,105,155,0,0,0,0,3,16
AC,FEIJO,4031,600,0,119,5,355,35,0,33,3,2170,654,12,0,17,9,0,0,0,0,5,14
AC,JORDAO,133,11,0,6,0,13,1,0,0,0,70,32,0,0,0,0,0,0,0,0,0,0
AC,MANCIO LIMA,3866,673,0,101,3,325,30,0,1,5,2157,543,18,0,1,4,0,0,0,0,0,5
AC,MANOEL URBANO,1199,224,0,57,5,154,7,0,2,0,597,113,5,0,25,8,0,0,0,0,0,2
AC,MARECHAL THAUMATURGO,371,10,0,13,0,36,0,0,0,0,265,38,9,0,0,0,0,0,0,0,0,0
AC,PLACIDO DE CASTRO,4969,1355,0,153,16,550,46,0,7,5,2305,402,29,0,69,16,3,0,0,0,6,7
AC,PORTO ACRE,3886,850,0,173,6,429,42,0,6,3,2125,158,47,0,33,8,0,2,0,0,0,4
AC,PORTO WALTER,336,6,0,9,0,30,0,0,0,0,232,53,5,0,0,0,0,0,0,0,0,1
AC,RIO BRANCO,193315,71506,0,4305,527,18037,3542,8,482,238,74355,14059,912,0,3046,897,55,25,0,4,129,1188
AC,RODRIGUES ALVES,1671,201,0,21,2,123,2,0,1,1,1018,291,9,0,0,1,0,0,0,0,0,1
AC,SANTA ROSA DO PURUS,195,18,0,5,1,23,0,0,0,0,124,18,3,0,3,0,0,0,0,0,0,0
AC,SENA MADUREIRA,8924,1570,0,120,9,935,54,0,21,4,4500,1609,10,0,65,13,0,0,0,0,2,12
AC,SENADOR GUIOMARD,7120,2214,0,352,68,771,65,0,17,8,2917,445,35,0,137,73,1,0,0,0,3,14
AC,TARAUACA,5108,619,0,156,17,400,43,0,6,20,2477,1275,23,0,21,21,0,0,0,0,10,20
AC,XAPURI,4470,847,0,80,4,410,23,1,3,4,2712,314,7,0,47,3,1,0,0,0,2,12
AL,AGUA BRANCA,4482,1073,0,116,2,543,41,0,17,93,2385,141,31,0,25,10,0,0,0,0,0,5
AL,ANADIA,2967,1112,0,49,1,170,96,0,1,34,1193,192,49,0,53,8,0,0,0,0,0,9
AL,ARAPIRACA,117250,36637,0,3076,500,7400,2084,1,1311,432,45961,15432,540,0,2178,944,10,3,0,0,39,702
AL,ATALAIA,7156,3846,0,222,13,297,181,0,71,43,1673,148,158,0,419,58,0,0,0,0,2,25
AL,BARRA DE SANTO ANTONIO,2421,999,0,27,4,131,46,0,177,6,852,58,28,0,69,15,0,0,0,0,0,9
AL,BARRA DE SAO MIGUEL,2032,880,0,22,1,134,46,0,196,4,604,40,14,0,60,13,0,0,0,0,2,16
AL,BATALHA,4048,1258,0,147,10,264,38,0,0,51,1887,263,21,0,67,20,0,0,0,0,1,21
AL,BELEM,1230,352,0,10,0,77,21,0,0,22,671,33,8,0,31,5,0,0,0,0,0,0
AL,BELO MONTE,839,207,0,36,2,63,6,0,0,22,473,14,7,0,2,5,0,0,0,0,0,2
AL,BOCA DA MATA,5813,1983,0,197,23,289,91,0,2,72,2267,528,109,0,171,70,0,0,0,0,1,10
AL,BRANQUINHA,1500,448,0,31,0,87,20,0,8,23,804,27,21,0,25,5,0,0,0,0,0,1
AL,CACIMBINHAS,2241,633,0,94,2,138,24,0,3,39,1167,69,14,0,36,13,0,0,0,0,0,9
AL,CAJUEIRO,3054,1094,0,85,2,134,58,0,9,9,1327,151,52,0,107,19,0,0,0,0,1,6
AL,CAMPESTRE,690,308,0,40,2,52,33,0,0,48,153,21,10,0,18,2,0,0,0,0,1,2
AL,CAMPO ALEGRE,5293,2045,0,140,52,305,84,2,16,113,1693,434,157,0,153,87,0,2,0,0,1,9
AL,CAMPO GRANDE,2537,562,0,48,0,135,15,0,0,17,1617,100,24,0,10,4,0,0,0,0,0,5
AL,CANAPI,2777,732,0,77,2,242,18,0,4,87,1465,85,26,0,28,7,0,0,0,0,1,3
